U_value_W_m2K,hot_inlet_temp_C,hot_outlet_temp_C,cold_inlet_temp_C,cold_outlet_temp_C,hot_flow_rate_kg_s,cold_flow_rate_kg_s,LMTD_C,heat_duty_kW,pressure_drop_hot_kPa,pressure_drop_cold_kPa,fouling_resistance_m2K_W,hot_side_velocity_m_s,cold_side_velocity_m_s,ambient_temp_C,condition_label
412.66,179.19,130.36,41.1,91.63,23.522,19.91,88.41,2514.3,38.19,28.63,0.000198,1.123,0.98,27.24,normal
408.88,182.07,129.76,39.0,89.65,24.842,20.614,91.58,2870.4,38.69,31.15,0.000208,1.232,0.991,28.34,normal
412.63,179.83,129.3,40.86,91.61,25.182,19.792,88.33,2813.3,40.2,29.43,0.00019,1.21,1.049,26.66,normal
409.15,179.0,130.39,43.73,90.99,24.094,20.259,87.34,2604.0,36.66,29.79,0.00021,1.242,1.009,30.31,normal
417.96,180.71,129.4,39.86,88.93,24.999,19.498,90.66,2891.4,39.51,29.17,0.000194,1.119,0.98,28.5,normal
412.03,181.39,131.0,40.8,89.7,24.27,19.582,90.94,2699.8,37.46,29.8,0.00019,1.154,1.029,29.14,normal
410.1,178.67,131.89,38.81,90.32,24.974,20.172,90.69,2548.9,38.54,30.95,0.000204,1.172,0.995,31.36,normal
416.54,179.63,130.58,40.62,91.02,25.211,19.516,89.29,2695.8,39.98,27.57,0.00022,1.241,1.027,25.55,normal
408.95,182.2,129.39,39.56,88.45,25.287,20.408,91.77,2908.0,43.05,29.38,0.000212,1.221,0.965,29.58,normal
419.11,178.56,128.5,40.93,89.49,25.257,19.689,88.32,2800.8,40.49,29.87,0.000194,1.191,0.969,30.82,normal
416.03,178.78,132.03,40.1,90.67,24.573,20.003,90.01,2537.2,39.82,31.28,0.000208,1.149,0.942,32.18,normal
413.24,180.31,130.42,38.97,90.56,25.523,19.922,90.59,2814.1,40.26,29.49,0.000195,1.209,1.046,30.36,normal
408.13,178.23,128.81,41.26,88.89,24.726,19.797,88.45,2694.5,39.11,29.88,0.000199,1.176,1.057,28.71,normal
414.25,176.36,131.05,39.94,89.05,25.205,20.03,89.2,2554.2,41.15,29.89,0.000201,1.244,1.049,32.0,normal
416.91,177.55,128.33,39.13,90.51,25.418,20.504,88.12,2781.4,41.05,30.88,0.00019,1.288,1.015,31.99,normal
415.84,180.62,129.56,40.22,88.9,24.813,21.517,90.52,2813.8,39.0,35.05,0.000202,1.206,1.008,34.63,normal
414.81,181.04,129.74,39.18,90.29,24.224,19.371,90.65,2717.8,37.61,27.9,0.00019,1.144,0.991,34.51,normal
418.49,180.94,129.62,40.55,91.04,25.363,20.114,89.49,2856.8,41.09,31.0,0.000192,1.32,1.024,29.66,normal
419.42,180.64,128.85,40.09,90.05,24.325,19.876,89.67,2739.8,38.91,31.05,0.00019,1.232,0.993,32.91,normal
410.87,178.21,132.35,39.78,87.1,24.46,19.508,91.83,2452.6,39.66,28.6,0.00019,1.227,0.959,30.52,normal
419.56,181.07,129.59,40.83,91.32,24.333,20.107,89.25,2759.7,36.79,31.79,0.00019,1.206,1.041,28.0,normal
411.77,181.78,130.44,38.87,91.23,25.5,19.525,91.06,2850.8,39.58,27.8,0.00021,1.208,1.036,31.54,normal
407.48,179.01,130.18,41.14,91.46,24.897,19.925,88.29,2659.8,39.84,30.73,0.00022,1.203,1.021,32.78,normal
411.78,181.47,128.4,38.13,90.98,23.645,20.584,90.38,2812.9,36.19,31.62,0.0002,1.213,0.998,25.26,normal
417.19,179.51,129.54,41.78,88.11,25.436,18.954,89.57,2792.3,42.2,29.4,0.000213,1.124,0.984,32.83,normal
416.83,180.34,130.19,40.34,91.59,26.237,20.088,89.3,2858.3,44.7,30.29,0.000197,1.164,1.004,28.39,normal
408.29,180.61,130.9,39.89,90.41,26.075,20.188,90.6,2821.1,42.49,29.89,0.00019,1.196,1.009,33.39,normal
412.83,177.83,129.65,39.41,91.05,24.654,19.486,88.5,2611.9,41.09,29.95,0.000202,1.208,0.953,30.58,normal
411.45,182.26,130.39,40.71,89.83,25.041,20.226,91.05,2879.9,40.46,29.47,0.000205,1.21,0.982,30.4,normal
413.11,178.77,129.65,39.99,89.77,25.3,20.14,89.33,2733.4,39.11,30.75,0.000195,1.222,0.958,32.96,normal
410.43,179.91,130.59,39.98,89.76,25.53,19.79,90.38,2792.8,42.56,28.88,0.000204,1.108,1.045,29.41,normal
406.58,179.32,127.59,41.2,91.74,25.015,20.57,86.98,2856.0,40.43,32.74,0.000207,1.151,0.945,34.39,normal
417.57,180.75,130.58,39.72,90.34,24.337,19.311,90.63,2659.2,38.4,28.1,0.00019,1.167,0.951,28.11,normal
411.27,180.71,129.37,39.92,89.82,25.447,20.286,90.17,2901.4,39.72,31.47,0.00019,1.207,0.964,28.85,normal
412.0,180.09,129.41,40.59,88.64,25.363,19.847,90.13,2817.8,40.75,29.57,0.000197,1.191,1.006,27.85,normal
411.17,182.18,127.17,41.24,90.55,24.196,19.436,88.75,2977.2,37.87,27.63,0.000197,1.3,0.963,31.19,normal
411.02,180.48,128.93,40.0,90.05,24.773,19.875,89.68,2796.1,39.2,27.97,0.000196,1.181,1.071,29.93,normal
413.44,179.46,130.69,40.32,90.13,25.155,19.79,89.85,2696.7,41.33,30.98,0.000212,1.187,1.029,31.72,normal
410.69,175.74,132.45,40.2,90.99,24.992,20.374,88.45,2367.9,41.57,31.42,0.000221,1.121,0.903,32.32,normal
411.34,179.64,129.29,40.91,90.83,25.308,19.217,88.59,2797.8,42.41,27.02,0.000195,1.292,1.009,31.71,normal
408.11,179.63,129.4,41.66,89.99,25.471,19.867,88.68,2827.2,42.75,29.49,0.000208,1.204,1.013,32.29,normal
409.29,178.75,130.57,39.21,90.2,25.318,19.736,89.95,2680.6,40.97,30.2,0.000211,1.194,0.948,32.31,normal
413.95,178.77,130.38,40.02,90.05,24.924,20.751,89.54,2684.4,41.71,31.02,0.000213,1.167,0.995,29.89,normal
409.52,180.95,129.59,40.11,90.68,24.184,19.405,89.87,2744.8,38.29,30.43,0.000222,1.203,1.002,28.54,normal
411.98,181.63,129.9,40.75,90.73,25.363,20.493,90.02,2927.4,42.07,31.26,0.00021,1.182,0.973,28.04,normal
406.93,182.9,129.84,41.67,90.01,25.834,19.086,90.51,3018.9,42.69,27.55,0.000228,1.259,0.994,31.59,normal
403.82,181.78,131.0,40.14,88.79,26.178,20.135,91.92,2958.1,42.94,31.87,0.000249,1.156,1.011,28.96,normal
407.09,179.0,131.1,40.37,90.72,24.973,19.895,89.5,2663.6,38.3,30.26,0.000239,1.176,0.977,28.05,normal
401.91,180.45,131.96,41.3,90.86,24.971,20.152,90.12,2661.7,40.54,29.88,0.000227,1.172,0.996,28.31,normal
410.76,178.02,131.28,38.9,88.57,25.861,19.611,90.91,2724.4,42.65,30.12,0.000246,1.226,0.949,29.59,normal
400.29,181.16,131.14,39.38,90.09,25.856,18.986,91.41,2884.9,43.52,28.2,0.000259,1.212,1.022,30.5,normal
402.01,180.6,130.58,39.7,89.28,25.197,19.189,91.1,2787.7,42.34,29.22,0.000253,1.245,0.972,29.5,normal
409.72,179.15,131.31,40.15,87.34,25.42,20.617,91.48,2671.9,40.49,31.43,0.000247,1.224,1.046,27.91,normal
400.93,179.9,129.64,40.39,89.5,24.535,20.067,89.83,2712.4,38.14,30.03,0.000277,1.223,1.079,31.12,normal
404.94,179.69,132.53,39.63,90.77,25.343,19.528,90.89,2626.3,42.06,29.69,0.000248,1.199,1.065,25.43,normal
398.55,179.11,130.88,41.93,88.76,24.496,20.41,89.65,2607.8,40.1,31.51,0.000274,1.24,0.977,29.34,normal
395.35,182.04,131.99,39.44,88.8,24.905,19.587,92.9,2715.3,40.64,27.85,0.000273,1.219,1.013,32.12,normal
402.96,184.72,129.72,39.95,90.75,24.918,19.589,91.86,3017.9,40.28,29.02,0.000263,1.212,0.986,30.53,normal
401.09,181.3,131.82,41.25,88.2,24.71,19.352,91.82,2676.4,39.15,29.65,0.000297,1.113,1.013,32.42,normal
394.64,181.65,131.15,40.94,88.41,23.725,20.547,91.71,2679.6,37.68,31.84,0.000292,1.17,0.962,30.19,normal
404.68,180.3,130.45,40.14,89.18,24.496,20.939,90.72,2707.5,39.06,34.42,0.000278,1.16,0.955,31.16,normal
391.84,179.54,130.19,40.53,90.05,25.192,19.475,89.57,2778.9,42.72,29.15,0.000304,1.101,0.993,30.05,normal
394.4,183.36,129.92,40.98,90.1,24.955,20.102,91.08,2995.8,42.4,31.14,0.000297,1.258,0.963,29.08,normal
400.77,179.51,132.48,40.14,88.91,24.755,20.445,91.47,2575.7,40.1,30.76,0.000284,1.266,1.045,30.73,normal
395.93,180.66,132.06,40.81,89.03,25.249,21.014,91.44,2752.1,42.86,33.24,0.000304,1.246,1.024,31.95,normal
395.81,179.89,131.09,39.22,89.36,25.405,18.757,91.2,2738.3,43.38,27.6,0.00032,1.219,1.007,25.91,normal
389.36,180.95,131.25,40.22,88.78,25.5,20.026,91.6,2805.9,44.34,31.77,0.000329,1.264,0.988,28.27,normal
388.46,179.99,130.33,38.48,88.26,24.507,20.278,91.79,2655.7,42.14,32.16,0.000328,1.106,0.987,25.63,normal
385.01,180.95,129.25,39.24,87.99,25.004,19.215,91.48,2848.1,42.83,29.93,0.000332,1.253,1.032,28.01,normal
385.81,178.16,129.38,38.99,89.91,24.79,20.158,89.32,2698.8,42.39,30.07,0.000342,1.088,0.996,27.28,normal
386.76,179.91,130.53,41.41,88.9,24.463,20.053,90.06,2672.4,41.44,31.49,0.000338,1.197,0.994,28.92,normal
382.28,182.12,131.15,39.67,92.15,24.092,20.315,90.72,2693.8,39.45,32.31,0.00036,1.193,1.067,29.29,normal
389.48,178.51,130.08,40.44,89.74,24.931,19.662,89.2,2658.7,42.28,29.67,0.000352,1.213,0.998,31.85,normal
385.09,179.06,132.09,39.2,88.19,24.466,20.162,91.88,2511.5,41.33,31.95,0.000359,1.22,0.982,32.41,normal
379.28,182.12,131.88,39.93,88.96,26.282,19.651,92.55,2890.0,47.99,30.01,0.000367,1.222,0.983,28.23,normal
397.08,180.67,131.41,39.86,89.43,24.931,20.256,91.4,2667.7,43.57,32.53,0.000353,1.153,1.043,28.86,normal
384.11,181.67,129.57,39.27,89.43,24.855,20.032,91.26,2878.7,44.46,31.36,0.000362,1.153,0.972,31.15,normal
377.94,176.71,131.37,41.01,89.28,24.751,19.764,88.88,2498.4,41.31,31.58,0.000393,1.143,0.972,28.55,normal
388.06,180.28,131.47,38.45,89.35,26.115,19.245,91.97,2803.4,46.49,28.9,0.000384,1.191,1.035,29.04,normal
388.18,178.15,130.23,40.77,88.72,24.425,20.776,89.44,2543.4,39.49,35.0,0.000381,1.168,1.038,26.07,normal
378.26,177.97,129.4,42.83,89.5,24.893,20.507,87.52,2655.9,42.31,33.63,0.000394,1.105,1.047,31.36,normal
377.86,180.68,133.45,39.3,91.22,24.528,20.392,91.79,2601.0,40.0,34.36,0.000389,1.232,0.957,30.4,normal
377.48,181.84,132.28,40.16,88.25,24.915,19.62,92.85,2685.2,44.21,30.74,0.000403,1.127,1.008,27.9,normal
385.88,177.82,131.22,38.54,88.36,24.969,19.777,91.06,2548.8,43.86,30.83,0.000396,1.16,0.968,27.15,normal
378.49,178.4,133.33,40.1,89.45,25.649,20.787,91.07,2533.2,44.46,34.44,0.000412,1.146,1.007,27.68,normal
379.27,179.18,132.7,38.36,90.15,24.14,20.325,91.66,2490.6,40.89,32.42,0.000395,1.147,0.928,30.76,normal
376.28,179.87,132.37,40.76,89.43,24.977,19.527,91.02,2580.3,44.51,30.05,0.000435,1.209,0.981,28.87,normal
383.06,178.06,132.0,39.62,89.97,25.96,19.976,90.22,2639.0,48.35,32.02,0.000417,1.148,1.033,27.36,normal
375.13,183.45,132.49,38.24,88.64,24.684,20.024,94.53,2748.7,43.27,32.01,0.000409,1.112,0.998,29.19,normal
375.62,180.94,133.35,38.79,88.3,24.883,19.853,93.59,2598.5,43.54,31.26,0.000431,1.148,0.893,31.62,normal
371.68,179.52,131.98,38.49,89.25,24.458,19.481,91.87,2529.1,42.04,30.43,0.000434,1.13,1.029,32.43,normal
382.55,179.28,131.77,39.81,89.2,23.419,20.581,91.01,2462.7,39.75,33.27,0.000445,1.104,1.003,32.62,normal
382.83,183.55,132.5,40.97,90.37,24.927,20.248,92.35,2789.3,43.91,33.07,0.000434,1.226,0.978,30.15,normal
376.51,183.42,129.29,39.69,90.09,25.695,19.856,91.45,3047.1,45.98,30.96,0.000457,1.236,0.988,30.43,normal
366.74,179.32,132.55,38.9,86.11,24.709,19.168,93.43,2571.9,42.78,31.81,0.000501,1.104,0.973,30.51,normal
376.94,180.57,131.61,39.24,89.3,23.882,19.663,91.82,2583.1,41.61,31.41,0.000447,1.257,1.034,31.28,normal
363.9,181.95,132.2,40.21,87.56,25.15,19.953,93.18,2813.7,44.21,33.21,0.000471,1.268,0.986,31.13,normal
372.63,178.27,132.01,37.6,86.0,25.037,20.39,93.33,2560.6,44.25,32.75,0.000468,1.109,0.924,27.96,normal
365.49,179.17,132.62,40.67,88.67,25.59,19.771,91.22,2624.5,47.28,32.27,0.000479,1.197,0.953,28.42,normal
368.17,182.08,132.23,40.49,88.18,25.536,20.511,92.82,2805.7,45.93,33.88,0.00046,1.165,1.053,29.14,normal
368.57,179.0,132.3,37.57,87.9,24.828,20.027,92.9,2622.3,45.05,33.47,0.000473,1.218,1.032,31.37,normal
366.52,179.4,132.3,41.27,86.72,25.23,19.585,91.85,2647.7,44.49,32.32,0.000497,1.031,1.018,28.89,normal
369.9,178.02,132.88,38.4,87.02,23.91,18.562,92.72,2369.5,42.15,27.39,0.000496,1.206,0.955,28.36,normal
367.0,178.9,132.12,39.84,87.74,25.658,19.371,91.72,2650.8,46.1,32.14,0.000521,1.155,1.007,32.02,normal
368.58,181.07,133.42,41.26,86.48,25.101,19.213,93.37,2620.9,43.71,29.36,0.000498,1.199,1.027,32.91,normal
362.28,178.8,130.88,38.39,87.9,25.641,19.883,91.69,2722.1,46.19,33.72,0.000513,1.217,0.99,28.08,normal
362.98,178.07,133.07,38.17,87.91,25.627,20.126,92.51,2526.5,47.95,33.69,0.000551,1.055,1.013,29.65,mild_fouling
365.37,179.09,133.0,38.91,87.86,24.817,20.655,92.65,2504.5,43.84,33.98,0.000512,1.172,1.031,32.29,normal
369.5,182.7,131.3,38.94,88.34,24.9,19.954,93.36,2829.0,43.46,33.43,0.000515,1.174,1.027,29.12,normal
360.13,180.3,132.27,39.91,87.84,24.465,19.382,92.41,2621.3,44.86,31.36,0.00053,1.202,1.003,31.81,mild_fouling
353.04,179.19,134.06,39.51,86.61,23.75,21.137,93.56,2381.4,40.51,35.88,0.000535,1.228,1.004,27.04,mild_fouling
359.02,180.26,132.73,39.54,86.65,24.911,20.117,93.4,2625.6,45.33,33.1,0.00055,1.208,0.936,29.49,mild_fouling
368.7,180.7,131.95,39.55,87.95,25.082,19.83,92.57,2692.9,46.2,33.18,0.000547,1.134,0.973,31.28,mild_fouling
363.56,180.21,129.81,39.85,88.9,24.338,19.831,90.63,2640.2,42.96,31.65,0.000541,1.207,1.018,33.06,mild_fouling
359.1,177.3,133.26,39.17,87.9,25.417,19.286,91.73,2460.4,47.59,30.6,0.000557,1.133,1.052,31.88,mild_fouling
358.52,180.47,133.3,40.37,86.97,25.049,20.281,93.22,2596.3,47.18,36.08,0.000591,1.205,0.99,26.63,mild_fouling
358.66,179.7,133.72,40.04,87.77,25.262,20.15,92.8,2571.1,46.99,33.46,0.00058,1.16,1.026,26.8,mild_fouling
364.18,181.29,134.8,39.0,85.89,24.528,20.758,95.6,2555.2,45.0,35.8,0.000536,1.163,0.986,28.16,mild_fouling
356.02,177.98,133.04,41.9,86.55,23.931,20.515,91.29,2387.0,42.02,35.49,0.000572,1.176,0.945,31.62,mild_fouling
358.59,181.6,133.15,38.74,87.25,25.457,20.399,94.38,2671.6,46.5,35.5,0.000569,1.092,1.001,31.42,mild_fouling
356.12,179.27,132.52,40.79,87.45,25.356,20.594,91.77,2610.7,47.81,36.27,0.000591,1.152,1.001,32.15,mild_fouling
353.76,177.44,133.1,39.28,87.19,24.924,19.823,92.03,2427.2,45.11,31.13,0.000587,1.11,0.948,31.34,mild_fouling
348.32,182.02,133.38,40.41,87.05,24.737,19.744,93.97,2667.2,46.32,32.81,0.000617,1.211,0.948,28.76,mild_fouling
353.61,179.23,134.11,40.58,86.09,24.824,19.941,93.33,2464.9,46.01,34.68,0.00061,1.228,0.984,29.16,mild_fouling
355.97,180.58,133.94,40.92,86.74,24.908,19.344,93.43,2509.1,46.0,31.34,0.000614,1.095,0.962,28.11,mild_fouling
355.29,179.77,132.59,41.5,87.66,24.685,19.896,91.6,2540.8,46.24,35.06,0.00061,1.057,1.002,31.62,mild_fouling
354.49,181.66,132.9,39.19,85.36,23.783,19.803,95.0,2545.0,43.27,33.54,0.000613,1.178,0.928,27.35,mild_fouling
353.36,181.68,134.83,42.97,86.0,25.46,20.302,93.76,2574.1,45.53,33.98,0.000622,1.137,1.014,30.05,mild_fouling
358.63,181.69,132.63,40.47,86.83,24.093,19.961,93.5,2599.3,43.82,34.52,0.000638,1.119,0.956,30.43,mild_fouling
351.02,181.09,134.3,39.23,88.86,24.79,19.015,93.64,2546.2,46.53,32.74,0.000634,1.275,0.995,32.44,mild_fouling
354.46,177.57,135.13,38.67,88.02,24.806,19.985,92.96,2344.6,46.84,33.5,0.000628,1.144,0.92,28.37,mild_fouling
354.69,177.46,134.36,42.45,88.83,25.147,20.678,90.26,2383.5,47.37,36.89,0.000653,1.113,1.017,30.74,mild_fouling
349.01,180.31,133.89,41.74,88.64,24.022,19.053,91.91,2438.8,42.86,30.67,0.000645,1.15,0.988,27.88,mild_fouling
349.56,178.56,135.01,40.05,86.67,25.714,19.591,93.42,2461.9,49.89,32.54,0.000646,1.177,1.064,32.02,mild_fouling
352.74,180.71,133.97,40.84,87.11,25.384,19.98,93.36,2611.7,49.23,34.25,0.000642,1.24,0.915,29.18,mild_fouling
354.07,180.25,133.67,41.41,85.85,25.453,19.309,93.33,2634.3,46.87,32.61,0.00065,1.178,0.908,29.3,mild_fouling
348.77,177.86,133.51,40.17,88.4,25.752,19.697,91.39,2490.0,48.53,33.69,0.000654,1.102,1.008,27.98,mild_fouling
351.51,178.43,134.69,39.64,88.04,24.513,20.0,92.7,2303.5,44.86,34.31,0.000633,1.14,1.016,28.69,mild_fouling
344.46,178.28,134.65,40.04,87.57,23.111,19.313,92.65,2289.5,39.02,34.45,0.000684,1.249,0.909,28.6,mild_fouling
339.99,178.66,135.5,40.93,87.65,25.192,20.12,92.77,2412.6,47.98,34.12,0.000683,1.076,1.0,28.68,mild_fouling
348.65,179.69,133.58,40.1,87.46,25.78,20.178,92.85,2617.4,51.37,33.63,0.000679,1.158,1.016,32.29,mild_fouling
341.5,181.03,133.77,38.82,87.06,25.691,19.34,94.46,2733.8,49.52,33.18,0.000698,1.216,1.033,27.91,mild_fouling
336.65,182.02,133.62,40.85,87.15,24.673,19.988,93.82,2599.6,47.13,34.85,0.000696,1.172,0.983,30.42,mild_fouling
341.69,178.53,134.37,38.31,88.15,24.94,20.515,93.19,2404.1,47.09,35.25,0.0007,1.149,0.917,31.63,mild_fouling
339.61,179.14,133.16,39.31,86.14,25.166,19.888,93.43,2536.2,48.7,35.54,0.000671,1.118,0.903,27.62,mild_fouling
338.39,182.35,135.04,41.34,85.66,23.911,20.194,95.19,2502.4,45.16,34.85,0.000703,1.166,1.06,25.55,mild_fouling
340.34,181.35,134.57,40.32,86.72,24.595,20.298,94.44,2521.1,48.35,34.74,0.000717,1.183,0.993,30.88,mild_fouling
335.01,180.35,133.39,40.32,87.87,24.614,19.86,92.78,2564.0,47.47,35.0,0.000734,1.167,1.015,26.56,mild_fouling
341.12,176.44,131.47,40.19,86.82,25.946,20.469,90.45,2559.6,53.3,37.19,0.000742,1.205,0.964,28.34,mild_fouling
332.24,178.47,132.61,41.13,86.33,24.606,20.17,91.81,2516.9,47.89,37.62,0.000742,1.165,0.967,29.73,mild_fouling
341.31,180.24,135.66,40.02,87.63,25.939,19.483,94.11,2557.0,51.29,32.08,0.000716,1.22,0.969,30.48,mild_fouling
343.23,179.1,134.1,38.08,86.89,25.005,20.24,94.1,2435.2,49.8,34.58,0.000708,1.165,0.941,29.38,mild_fouling
342.01,183.01,134.62,40.33,84.44,23.992,20.412,96.41,2554.6,44.85,36.31,0.000746,1.199,0.965,28.49,mild_fouling
340.32,180.13,134.03,36.94,85.43,26.329,20.382,95.89,2642.7,53.86,36.07,0.000745,1.14,0.932,31.95,mild_fouling
336.09,180.42,134.98,37.98,84.14,24.415,19.658,96.64,2438.6,49.56,34.22,0.000761,1.238,0.959,30.38,mild_fouling
336.48,178.33,132.6,41.69,86.25,25.37,20.211,91.49,2553.7,51.22,35.38,0.000752,1.216,1.019,33.84,mild_fouling
334.98,178.41,132.59,41.14,85.94,26.023,20.668,91.96,2681.3,52.05,36.26,0.000761,1.188,0.976,28.09,mild_fouling
340.95,178.99,132.83,39.6,87.01,24.679,20.097,92.6,2501.3,48.1,35.16,0.000746,1.108,0.949,29.74,mild_fouling
331.49,179.05,134.76,40.0,88.67,24.262,20.575,92.55,2324.1,46.24,37.91,0.000774,1.162,1.042,29.84,mild_fouling
336.27,179.64,135.35,40.16,85.74,25.625,20.634,94.55,2500.6,51.39,38.11,0.000768,1.012,1.026,31.03,mild_fouling
332.52,180.56,135.24,41.1,86.31,25.039,19.965,94.2,2468.2,48.17,34.92,0.000782,1.135,0.976,30.4,mild_fouling
333.01,180.35,134.69,39.28,85.84,24.264,20.314,94.96,2485.0,47.25,37.07,0.000789,1.16,0.906,29.98,mild_fouling
331.47,181.51,133.52,39.17,83.19,24.351,19.839,96.32,2590.3,45.76,35.42,0.000787,1.111,1.025,33.91,mild_fouling
338.76,177.95,135.68,39.43,85.37,24.766,20.519,94.4,2344.0,49.3,36.99,0.000797,1.159,1.025,29.61,mild_fouling
328.89,180.31,134.6,40.21,85.41,25.578,19.94,94.64,2563.0,52.24,35.23,0.000798,1.183,0.951,30.83,mild_fouling
330.53,180.36,134.98,40.34,86.41,24.828,19.711,94.29,2452.9,50.23,34.95,0.000812,1.237,1.029,30.32,mild_fouling
330.42,182.4,134.94,39.67,85.18,25.393,19.973,96.24,2659.5,53.68,38.03,0.000813,1.151,0.941,28.7,mild_fouling
332.42,179.66,134.48,40.85,84.74,25.992,19.95,94.28,2549.4,51.88,35.76,0.000806,1.076,0.963,31.45,mild_fouling
331.4,180.49,134.26,39.03,86.77,25.762,20.178,94.48,2596.1,51.56,35.69,0.00081,1.038,0.955,26.15,mild_fouling
327.77,178.76,134.67,39.99,85.84,25.863,20.22,93.79,2490.3,52.7,36.73,0.000843,1.14,0.979,32.26,mild_fouling
331.58,180.64,133.82,39.36,85.04,25.739,19.405,95.02,2647.9,52.38,33.63,0.000826,1.193,0.967,26.78,mild_fouling
320.95,180.6,135.51,39.04,85.08,24.035,19.662,95.99,2346.2,47.95,35.98,0.000844,1.202,1.028,29.3,mild_fouling
326.5,179.04,135.07,41.33,85.6,25.734,20.168,93.59,2437.9,52.86,34.93,0.000841,1.153,0.958,30.14,mild_fouling
322.85,179.33,136.21,39.74,86.86,25.197,20.229,94.45,2427.6,50.52,35.93,0.000835,1.117,0.989,28.94,mild_fouling
327.7,179.95,133.4,39.04,87.51,24.925,20.032,93.39,2539.5,49.03,36.86,0.000837,1.115,0.974,28.88,mild_fouling
321.12,180.87,136.51,40.11,84.42,24.349,21.306,96.42,2372.7,47.7,40.94,0.000853,1.141,0.981,32.37,mild_fouling
321.22,178.25,135.32,39.05,87.09,24.047,20.55,93.69,2287.3,46.91,38.14,0.000859,1.151,0.939,34.8,mild_fouling
323.41,181.34,135.3,40.68,85.81,24.333,19.953,95.07,2476.4,48.41,36.81,0.000868,1.175,0.969,32.06,mild_fouling
330.37,179.49,134.51,40.94,86.26,24.987,20.356,93.4,2456.7,49.17,36.31,0.000851,1.153,1.025,30.27,mild_fouling
326.14,182.87,134.61,41.12,86.85,24.295,20.661,94.75,2569.3,48.22,38.83,0.000863,1.243,1.003,28.67,mild_fouling
324.02,182.21,134.02,38.99,84.66,24.51,20.176,96.28,2640.4,49.81,36.1,0.000874,1.153,0.925,28.38,mild_fouling
325.29,179.38,136.62,39.92,86.5,24.63,19.121,94.78,2350.1,50.43,32.8,0.0009,1.167,0.953,32.4,mild_fouling
321.51,179.04,135.16,41.96,84.4,25.4,20.043,93.92,2472.4,50.97,36.82,0.000857,1.197,0.932,31.76,mild_fouling
313.49,183.72,136.4,39.85,85.07,24.823,20.021,97.59,2627.4,51.54,36.07,0.000895,1.189,0.941,32.62,mild_fouling
320.04,180.95,136.46,41.37,84.7,24.912,21.062,95.67,2391.7,51.74,39.86,0.000888,1.114,0.944,31.98,mild_fouling
318.85,180.86,135.26,41.63,87.37,25.796,19.078,93.56,2591.8,54.82,34.25,0.000905,1.066,0.921,32.63,mild_fouling
324.78,179.35,135.47,38.66,87.36,24.807,20.771,94.38,2388.8,49.49,38.42,0.000899,1.082,0.987,28.72,mild_fouling
326.4,179.8,135.49,41.31,86.3,25.36,19.92,93.84,2424.1,51.55,37.05,0.000914,1.16,1.004,28.34,mild_fouling
312.32,181.22,137.02,40.84,85.91,24.366,20.464,95.74,2378.9,49.68,40.38,0.000933,1.169,0.974,27.88,mild_fouling
326.62,180.93,136.05,40.97,84.82,25.197,19.853,95.59,2505.7,51.55,36.27,0.000923,1.158,0.949,29.88,mild_fouling
322.83,178.74,136.13,41.8,87.28,25.072,20.088,92.89,2358.1,50.86,38.04,0.000929,1.179,0.974,29.55,mild_fouling
319.88,181.88,136.72,40.55,86.87,25.105,20.567,95.59,2449.6,53.28,39.54,0.000933,1.203,0.938,30.16,mild_fouling
319.1,180.46,135.85,40.16,86.39,24.72,20.043,94.88,2422.0,51.73,36.05,0.000925,1.105,1.008,27.49,mild_fouling
324.26,178.55,138.14,40.7,85.15,24.382,20.529,95.41,2174.6,50.53,37.8,0.000945,1.262,1.058,30.28,mild_fouling
316.46,181.51,135.13,39.72,84.92,24.82,19.962,96.0,2527.4,52.76,36.96,0.000941,1.267,0.863,31.57,mild_fouling
314.76,179.73,137.29,40.58,85.22,24.719,19.798,95.61,2316.2,51.94,34.66,0.000939,1.177,0.982,30.09,mild_fouling
315.5,181.18,137.56,38.02,86.68,25.62,19.894,97.0,2472.8,53.52,36.88,0.000953,1.131,0.969,24.47,mild_fouling
309.96,179.16,135.04,41.84,84.18,25.545,19.752,94.08,2517.1,55.57,36.6,0.000955,1.152,0.974,29.89,mild_fouling
314.77,180.55,137.18,39.53,85.23,24.279,19.944,96.47,2323.8,50.05,37.57,0.000972,1.071,0.955,29.21,mild_fouling
313.19,177.54,136.56,40.63,86.92,25.376,20.685,93.24,2356.4,54.43,40.03,0.000967,1.14,0.908,31.79,mild_fouling
314.83,180.56,137.14,40.39,86.11,24.712,19.42,95.59,2367.8,53.02,36.48,0.000966,1.1,0.963,29.61,mild_fouling
312.14,177.69,135.3,40.18,86.87,25.275,19.175,92.96,2366.0,54.5,34.59,0.000995,1.132,0.949,31.21,mild_fouling
307.24,180.24,136.74,40.19,85.42,24.711,19.996,95.68,2386.4,53.47,38.68,0.000994,1.121,0.959,29.15,mild_fouling
314.76,176.16,135.59,40.14,85.39,24.117,20.848,93.09,2152.2,49.86,41.03,0.001002,1.234,0.963,30.59,mild_fouling
306.9,179.9,136.21,38.4,86.45,25.61,20.53,95.61,2455.0,55.05,39.89,0.000999,1.095,0.945,31.9,mild_fouling
313.92,181.09,137.93,39.52,85.68,25.271,20.668,96.91,2432.9,53.35,39.78,0.000996,1.151,1.053,29.38,mild_fouling
